client / subnet router,Graham-PC-Neon,pve1,pve2,pve3,pve4,rpi4,DS920
Graham-PC-Neon,,2.02,1.99,1.88,2.03,0.719,0.902
pve1,1.37,,1.99,1.87,2.03,0.721,0.958
pve3,1.37,2.04,1.99,,2.04,0.719,1.02
pve4,1.37,2.03,1.99,1.87,,0.713,1.02
rpi4,0.931,0.976,0.952,0.956,0.975,,0.612
DS920,1.27,1.43,1.43,1.43,1.53,0.686,
