client / subnet router,Graham-PC-Neon,pve1,pve2,pve3,pve4,rpi4,DS920
Graham-PC-Neon,,2.01,1.92,1.82,2,0.777,0.885
pve1,1.36,,1.92,1.83,2,0.773,0.911
pve2,1.37,2.01,,1.82,2,0.777,1.01
pve3,1.37,2.01,1.92,,2,0.785,0.912
pve4,1.36,2.01,1.92,1.82,,0.777,0.785
DS920,1.21,1.5,1.44,1.41,1.46,0.758,
