source / target,Graham-PC-Neon,pve1,pve2,pve3,pve4,rpi4,DS920,cloverlea-pve
Graham-PC-Neon,,2.35,2.35,2.35,2.35,2.35,2.35,0.533
pve1,2.35,,2.35,2.35,2.35,2.35,2.34,0.535
pve2,2.31,2.31,,2.31,2.31,2.3,2.3,0.549
pve3,2.2,2.2,2.21,,2.21,2.18,2.2,0.511
pve4,2.35,2.35,2.35,2.35,,2.35,2.34,0.517
rpi4,1.98,1.97,1.97,1.97,1.97,,1.98,0.937
DS920,2.34,2.34,2.34,2.32,2.34,2.34,,0.432
cloverlea-pve,0.791,0.785,0.786,0.792,0.79,0.791,0.791,
