client / subnet router,Graham-PC-Neon,pve1,pve2,pve3,pve4,rpi4,DS920
Graham-PC-Neon,,2,1.95,1.81,1.99,0.71,1.1
pve1,1.37,,1.94,1.86,2.03,0.714,1.06
pve2,1.37,2.03,,1.85,2.03,0.709,1.03
pve3,1.36,2.03,1.95,,2.03,0.717,1.05
pve4,1.37,2.03,1.94,1.85,,0.71,1.05
rpi4,0.937,0.985,0.976,0.973,0.99,,0.614
