client / subnet router,Graham-PC-Neon,pve1,pve2,pve3,pve4,rpi4,DS920
Graham-PC-Neon,,1.49,1.5,1.49,1.49,0.75,1.23
pve1,1.78,,2.23,1.95,2.12,0.695,1.28
pve3,1.82,1.83,1.82,,1.83,0.742,1.19
pve4,1.72,2.16,2.22,1.94,,0.706,1.22
rpi4,0.79,0.782,0.777,0.778,0.788,,0.767
DS920,1.18,1.16,1.15,1.19,1.19,0.595,
