client / subnet router,Graham-PC-Neon,pve1,pve2,pve3,pve4,rpi4,DS920
Graham-PC-Neon,,1.49,1.49,1.49,1.5,0.932,1.19
pve1,1.77,,2.06,1.9,2.11,0.953,1.27
pve2,1.98,1.99,,1.87,1.99,0.934,1.23
pve3,1.82,1.84,1.83,,1.83,0.914,1.18
pve4,1.71,2.15,2.05,1.9,,0.961,1.22
DS920,1.09,1.16,1.15,1.16,1.11,0.716,
